Model,Predictor,MI OR [95% CI],MI p,CC OR [95% CI],CC p,OR Δ (%),Consistency
Model A — Personality,DBAS_Medications,"0.67 [0.58, 0.78]",***,"0.62 [0.52, 0.72]",***,-8.4,Both significant
Model A — Personality,SURPS_Hopelessness,"0.69 [0.38, 1.27]",,"0.64 [0.33, 1.23]",,-7.6,Both non-significant
Model A — Personality,CISS_Emotion,"0.93 [0.64, 1.35]",,"0.83 [0.56, 1.24]",,-10,Both non-significant
Model A — Personality,BFI_Neuroticism,"0.97 [0.72, 1.29]",,"1.02 [0.75, 1.38]",,5.3,Both non-significant
Model A — Personality,DBAS_Consequences,"1.07 [0.93, 1.24]",,"1.12 [0.96, 1.31]",,4.8,Both non-significant
Model B — Full,capabilityC,"2.10 [1.54, 2.87]",***,"2.10 [1.56, 2.90]",***,-0,Both significant
Model B — Full,DBAS_Medications,"0.80 [0.69, 0.92]",**,"0.75 [0.64, 0.88]",***,-5.7,Both significant
Model B — Full,side_effectsC,"1.72 [1.19, 2.48]",**,"1.69 [1.12, 2.57]",*,-1.6,Both significant
Model B — Full,bzra_daily_diazepam_eq,"1.13 [0.95, 1.35]",,"1.19 [0.97, 1.42]",.,4.8,Both non-significant
Model B — Full,stop_wdl_exp_combined.L,"0.89 [0.19, 4.23]",,NA,NA,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined.Q,"0.39 [0.07, 2.10]",,NA,NA,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined.C,"0.41 [0.06, 2.76]",,NA,NA,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined^4,"1.26 [0.17, 9.67]",,NA,NA,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined^5,"0.88 [0.07, 10.33]",,NA,NA,NA,Both non-significant
Model B — Full,wdl_symptom_count,"1.10 [0.51, 2.37]",,"1.94 [0.80, 4.65]",,76,Both non-significant
Model B — Full,n_sleep_conditions,"0.87 [0.59, 1.27]",,"0.83 [0.54, 1.27]",,-4,Both non-significant
Model B — Full,c_lengthofuse,"0.98 [0.95, 1.01]",,"0.98 [0.94, 1.01]",,-0.2,Both non-significant
Model B — Full,stop_wdl_exp_combined1,NA,NA,"0.50 [0.17, 1.53]",,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined2,NA,NA,"0.41 [0.03, 4.97]",,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined3,NA,NA,"1.79 [0.05, 67.54]",,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined4,NA,NA,"1097271.85 [0.00, NA]",,NA,Both non-significant
Model B — Full,stop_wdl_exp_combined5,NA,NA,"0.09 [0.01, 0.93]",*,NA,Both non-significant
