"Family","Variable","Overall (N=422)","Continuers (n=307)","Stoppers (n=115)","p (uncorr)","p (FDR)","Sig","Effect Size [95% CI]","Interpretation"
"Demographics","age","73.47 (6.11)","73.61 (6.17)","73.11 (5.96)","0.452","0.887","","d = -0.08 [-0.29, 0.13]","Negligible"
"Demographics","sex","","","","0.908","0.908","","V = 0.01 [0.00, 0.10]","Negligible"
"Demographics","    Female","266 (63.0%)","193 (62.9%)","73 (63.5%)","","","","",""
"Demographics","    Male","156 (37.0%)","114 (37.1%)","42 (36.5%)","","","","",""
"Demographics","education","","","","0.383","0.887","","V = 0.04 [0.00, 0.14]","Negligible"
"Demographics","    High School or Less","89 (21.1%)","68 (22.1%)","21 (18.3%)","","","","",""
"Demographics","    Trade School/University Degree","333 (78.9%)","239 (77.9%)","94 (81.7%)","","","","",""
"Demographics","income","","","","0.803","0.908","","V = 0.06 [0.00, 0.16]","Negligible"
"Demographics","    $15,000 or less","3 (0.8%)","2 (0.8%)","1 (0.9%)","","","","",""
"Demographics","    $15,000 to $30,000","45 (10.7%)","34 (11.1%)","11 (9.6%)","","","","",""
"Demographics","    $30,000 to $50,000","80 (18.9%)","54 (17.5%)","26 (22.6%)","","","","",""
"Demographics","    $50,000 to $80,000","111 (26.4%)","83 (27.2%)","28 (24.3%)","","","","",""
"Demographics","    $80,000 or more","182 (43.2%)","133 (43.4%)","49 (42.6%)","","","","",""
"Demographics","employment","","","","0.137","0.887","","V = 0.07 [0.00, 0.17]","Negligible"
"Demographics","    Full- or Part-Time Work","31 (7.3%)","19 (6.2%)","12 (10.4%)","","","","",""
"Demographics","    Not in Workforce","391 (92.7%)","288 (93.8%)","103 (89.6%)","","","","",""
"Demographics","driving_freq","","","","0.634","0.887","","V = 0.06 [0.00, 0.16]","Negligible"
"Demographics","    Do not drive","25 (5.9%)","18 (5.8%)","7 (6.2%)","","","","",""
"Demographics","    Less than 1 day/week","30 (7.1%)","22 (7.2%)","8 (6.9%)","","","","",""
"Demographics","    1-3 days/week","117 (27.7%)","90 (29.3%)","27 (23.5%)","","","","",""
"Demographics","    4-7 days/week","250 (59.3%)","177 (57.7%)","73 (63.4%)","","","","",""
"Demographics","prov_terr","","","","0.509","0.887","","V = 0.07 [0.00, 0.17]","Negligible"
"Demographics","    Western Canada","166 (39.3%)","123 (40.1%)","43 (37.4%)","","","","",""
"Demographics","    Central Canada","109 (25.8%)","82 (26.7%)","27 (23.5%)","","","","",""
"Demographics","    Atlantic Canada","140 (33.2%)","96 (31.3%)","44 (38.3%)","","","","",""
"Demographics","    Territories","7 (1.7%)","6 (2.0%)","1 (0.9%)","","","","",""
"Clinical","phq2_score","1.33 (1.55)","1.39 (1.52)","1.17 (1.62)","0.221","0.529","","d = -0.14 [-0.35, 0.08]","Negligible"
"Clinical","osss_3_score","10.21 (2.26)","10.22 (2.24)","10.17 (2.33)","0.838","0.838","","d = -0.02 [-0.24, 0.19]","Negligible"
"Clinical","gen_health","","","","0.734","0.800","","V = 0.07 [0.00, 0.16]","Negligible"
"Clinical","    Poor","17 (4.0%)","14 (4.6%)","3 (2.6%)","","","","",""
"Clinical","    Fair","76 (18.0%)","57 (18.6%)","19 (16.5%)","","","","",""
"Clinical","    Good","146 (34.6%)","107 (34.9%)","39 (33.9%)","","","","",""
"Clinical","    Very good","145 (34.4%)","104 (33.9%)","41 (35.7%)","","","","",""
"Clinical","    Excellent","38 (9.0%)","25 (8.1%)","13 (11.3%)","","","","",""
"Clinical","med_quant","6.36 (4.02)","6.65 (4.08)","5.60 (3.75)","0.013","0.077","","d = -0.26 [-0.48, -0.05]","Small"
"Clinical","n_physical_conditions","3.39 (2.33)","3.41 (2.25)","3.31 (2.55)","0.710","0.800","","d = -0.04 [-0.26, 0.17]","Negligible"
"Clinical","n_ment_conditions","0.77 (0.95)","0.79 (0.97)","0.70 (0.90)","0.325","0.644","","d = -0.10 [-0.32, 0.11]","Negligible"
"Clinical","n_sleep_conditions","1.42 (0.68)","1.45 (0.66)","1.35 (0.74)","0.196","0.529","","d = -0.15 [-0.36, 0.07]","Negligible"
"Clinical","n_health_conditions","5.58 (3.01)","5.66 (2.95)","5.36 (3.17)","0.376","0.644","","d = -0.10 [-0.32, 0.11]","Negligible"
"Clinical","bzra_daily_diazepam_eq","0.79 (1.33)","0.81 (1.41)","0.71 (1.10)","0.455","0.683","","d = -0.07 [-0.29, 0.14]","Negligible"
"Clinical","c_lengthofuse","12.00 (9.76)","12.95 (9.99)","9.47 (8.65)","< .001","0.006","**","d = -0.36 [-0.58, -0.14]","Small"
"Clinical","fall2","","","","0.590","0.787","","V = 0.05 [0.00, 0.15]","Negligible"
"Clinical","    No fall / not injured","260 (67.4%)","188 (66.7%)","72 (69.2%)","","","","",""
"Clinical","    Minor injury","39 (10.1%)","27 (9.6%)","12 (11.5%)","","","","",""
"Clinical","    Serious injury","87 (22.5%)","67 (23.8%)","20 (19.2%)","","","","",""
