"variable","Family","p_val","effect_type","effect_size","ci_low","ci_high","interpretation","p_fdr"
"capabilityC","Beliefs_COMB",9.01841577991496e-14,"Cohens_d",0.907,0.684,1.13,"Large",7.21473262393197e-13
"DBAS_Medications","Personality",6.23048949889831e-08,"Cohens_d",-0.731,-0.951,-0.511,"Medium",1.05918321481271e-06
"dependenceC","Beliefs_COMB",6.66117307376853e-05,"Cohens_d",-0.479,-0.696,-0.262,"Small",0.000266446922950741
"stop_wdl_exp_combined","Sleep_Adverse",5.77785235718036e-05,"Cramers_V",0.253,0.163,0.342,"Small",0.000346671141430821
"adlsC","Beliefs_COMB",0.000455161946526389,"Cohens_d",0.449,0.232,0.665,"Small",0.00121376519073704
"wdl_symptom_count","Sleep_Adverse",0.00129170567620102,"Cohens_d",-0.367,-0.583,-0.151,"Small",0.00387511702860305
"motivationC","Beliefs_COMB",0.00213468588983314,"Cohens_d",-0.343,-0.559,-0.128,"Small",0.00426937177966628
"c_lengthofuse","Clinical",0.000491788906400967,"Cohens_d",-0.361,-0.576,-0.145,"Small",0.00590146687681161
"side_effectsC","Beliefs_COMB",0.007290918448712,"Cohens_d",0.344,0.129,0.56,"Small",0.0116654695179392
"melatonin_use","Sleep_Adverse",0.0210731133079663,"Cohens_d",0.275,0.06,0.491,"Small",0.0421462266159327
