"Variable","Domain","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"age","Demographics",0.0228964158744439,37,0,0,TRUE,FALSE,FALSE
"sex","Demographics",0.0183080837904399,0,0,0,FALSE,FALSE,FALSE
"education","Demographics",0.00585211549457752,0,0,0,FALSE,FALSE,FALSE
"income","Demographics",0.00471103751879824,0,0,0,FALSE,FALSE,FALSE
"employment","Demographics",0.00415272137483294,1,0,0,FALSE,FALSE,FALSE
"driving_freq","Demographics",0.00387819436784343,2,0,0,FALSE,FALSE,FALSE
"prov_terr","Demographics",0.00369434731172076,25,1,1,TRUE,FALSE,FALSE
"phq2_score","Clinical",0.00341755596030104,41,0,0,TRUE,FALSE,FALSE
"osss_3_score","Clinical",0.00314045536305845,17,1,0,TRUE,FALSE,FALSE
"gen_health","Clinical",0.00281645257670025,0,0,0,FALSE,FALSE,FALSE
"med_quant","Clinical",0.00245099770614308,42,1,0,TRUE,FALSE,FALSE
"n_physical_conditions","Clinical",0.00195660928284128,42,1,0,TRUE,FALSE,FALSE
"n_ment_conditions","Clinical",0.00170683086643672,1,0,0,FALSE,FALSE,FALSE
"n_sleep_conditions","Clinical",0.00154614628927245,42,17,4,TRUE,TRUE,FALSE
"n_health_conditions","Clinical",0.00140253347616162,42,1,0,TRUE,FALSE,FALSE
"bzra_daily_diazepam_eq","Clinical",0.00126742894726053,42,26,3,TRUE,TRUE,FALSE
"c_lengthofuse","Clinical",0.00114941338421368,42,16,0,TRUE,TRUE,FALSE
"fall2","Clinical",0.00107866048536921,1,0,0,FALSE,FALSE,FALSE
"alc_use","Clinical",0.000998888635632798,41,1,0,TRUE,FALSE,FALSE
"alc_sleep","Sleep_Adverse",0.00093622106999992,5,0,0,FALSE,FALSE,FALSE
"can_sleep","Sleep_Adverse",0.00087869398932466,0,0,0,FALSE,FALSE,FALSE
"melatonin_use","Sleep_Adverse",0.000828930858075405,42,1,0,TRUE,FALSE,FALSE
"op_sleep","Sleep_Adverse",0.000772283709807833,0,0,0,FALSE,FALSE,FALSE
"stop_wdl_exp_combined","Sleep_Adverse",0.000715623407763498,42,17,6,TRUE,TRUE,FALSE
"wdl_symptom_count","Sleep_Adverse",0.000660644621206827,42,15,3,TRUE,TRUE,FALSE
"benefitsC","Beliefs_COMB",0.000615259895694872,42,2,0,TRUE,FALSE,FALSE
"side_effectsC","Beliefs_COMB",0.000568151767768691,42,29,14,TRUE,TRUE,TRUE
"adlsC","Beliefs_COMB",0.000513550140406932,42,9,1,TRUE,FALSE,FALSE
"dependenceC","Beliefs_COMB",0.000473855312888424,42,9,1,TRUE,FALSE,FALSE
"motivationC","Beliefs_COMB",0.000421869238373005,42,1,0,TRUE,FALSE,FALSE
"capabilityC","Beliefs_COMB",0.000363940216626971,42,42,39,TRUE,TRUE,TRUE
"pharmacistC","Beliefs_COMB",0.000307320640238752,35,0,0,TRUE,FALSE,FALSE
"prescriberC","Beliefs_COMB",0.000228695454475529,41,1,0,TRUE,FALSE,FALSE
"BFI_Extraversion","Personality",0.00018023227846887,1,0,0,FALSE,FALSE,FALSE
"BFI_Agreeableness","Personality",0.000125566902809268,13,0,0,TRUE,FALSE,FALSE
"BFI_Conscientiousness","Personality",7.83650712408416e-05,15,0,0,TRUE,FALSE,FALSE
"BFI_Neuroticism","Personality",4.99516464573253e-05,37,0,0,TRUE,FALSE,FALSE
"BFI_Openness","Personality",3.06710026210765e-05,22,0,0,TRUE,FALSE,FALSE
"SURPS_Impulsivity","Personality",9.18250437881074e-06,42,0,0,TRUE,FALSE,FALSE
"SURPS_Sensation_Seeking","Personality",-9.48482643991144e-06,30,0,0,TRUE,FALSE,FALSE
"SURPS_Hopelessness","Personality",-2.87991652948658e-05,42,1,0,TRUE,FALSE,FALSE
"SURPS_Anxiety_Sensitivity","Personality",-4.64565931718758e-05,42,1,0,TRUE,FALSE,FALSE
"DBAS_Consequences","Personality",-6.31999378971488e-05,42,1,0,TRUE,FALSE,FALSE
"DBAS_Worry_Helplessness","Personality",-8.89420461779201e-05,42,1,0,TRUE,FALSE,FALSE
"DBAS_Expectations","Personality",-0.000111235549823407,0,0,0,FALSE,FALSE,FALSE
"DBAS_Medications","Personality",-0.000138441315114534,42,40,32,TRUE,TRUE,TRUE
"DBAS_Total","Personality",-0.000164615932891339,42,3,0,TRUE,FALSE,FALSE
"CISS_Task","Personality",-0.000195726179192592,41,0,0,TRUE,FALSE,FALSE
"CISS_Emotion","Personality",-0.000274259175396506,42,0,0,TRUE,FALSE,FALSE
"CISS_Avoidance","Personality",-0.000411416837461572,0,0,0,FALSE,FALSE,FALSE
