"","stopped_bzra","DBAS_Medications","SURPS_Hopelessness","CISS_Emotion","BFI_Neuroticism","DBAS_Consequences","capabilityC","side_effectsC","bzra_daily_diazepam_eq","stop_wdl_exp_combined","wdl_symptom_count","n_sleep_conditions","c_lengthofuse","DBAS_Worry_Helplessness","DBAS_Expectations","DBAS_Total","CISS_Task","CISS_Avoidance","BFI_Extraversion","BFI_Agreeableness","BFI_Conscientiousness","BFI_Openness","SURPS_Impulsivity","SURPS_Sensation_Seeking","SURPS_Anxiety_Sensitivity","benefitsC","adlsC","dependenceC","motivationC","gen_health","osss_3_score","phq2_score","med_quant"
"stopped_bzra","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Medications","r","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SURPS_Hopelessness","r","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISS_Emotion","r","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFI_Neuroticism","r","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DBAS_Consequences","r","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"capabilityC","r","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,,
"side_effectsC","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,,
"bzra_daily_diazepam_eq","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ",,,,,,,,,,,,,,,,,,,,,,,,
"stop_wdl_exp_combined","V","η","η","η","η","η","η","η","η","ρ",,,,,,,,,,,,,,,,,,,,,,,
"wdl_symptom_count","r","ρ","ρ","ρ","ρ","ρ","ρ","ρ","ρ","η","ρ",,,,,,,,,,,,,,,,,,,,,,
