term,estimate,se_rubin,OR,OR_lower,OR_upper,OR_CI,p.value
(Intercept),-2.7914,0.9544,0.061,0.009,0.398,"0.06 [0.01, 0.40]",0.0034
capabilityC,0.7218,0.1495,2.058,1.535,2.759,"2.06 [1.54, 2.76]",0
DBAS_Medications,-0.2089,0.0777,0.811,0.697,0.945,"0.81 [0.70, 0.95]",0.0072
side_effectsC,0.3148,0.2575,1.37,0.827,2.269,"1.37 [0.83, 2.27]",0.2215
bzra_daily_diazepam_eq,0.1387,0.0772,1.149,0.988,1.336,"1.15 [0.99, 1.34]",0.0722
n_sleep_conditions,-0.1464,0.1878,0.864,0.598,1.248,"0.86 [0.60, 1.25]",0.4357
stop_wdl_exp_combined1,-0.3966,0.4781,0.673,0.263,1.717,"0.67 [0.26, 1.72]",0.4069
stop_wdl_exp_combined2,0.1833,0.8824,1.201,0.213,6.772,"1.20 [0.21, 6.77]",0.8355
stop_wdl_exp_combined3,0.8377,1.4547,2.311,0.134,40.002,"2.31 [0.13, 40.00]",0.5647
stop_wdl_exp_combined4,0.1097,1.2185,1.116,0.102,12.158,"1.12 [0.10, 12.16]",0.9283
stop_wdl_exp_combined5,-0.7507,0.9334,0.472,0.076,2.941,"0.47 [0.08, 2.94]",0.4213
c_lengthofuse,-0.0178,0.0146,0.982,0.955,1.011,"0.98 [0.95, 1.01]",0.2241
wdl_symptom_count,0.0772,0.3647,1.08,0.529,2.208,"1.08 [0.53, 2.21]",0.8323
adlsC,0.2231,0.2071,1.25,0.833,1.876,"1.25 [0.83, 1.88]",0.2814
