Case_ID,Mean_Leverage,Mean_AbsResid,Outcome,Mechanism
201,0.05981,1.27,0,High leverage / high residual (both)
336,0.04358,1.1924,0,High leverage / low residual (subgroup)
103,0.04186,1.3475,1,High leverage / high residual (both)
381,0.02729,1.5965,1,High leverage / high residual (both)
326,0.02247,1.9574,1,Low leverage / high residual (outlier)
108,0.02084,1.8818,1,Low leverage / high residual (outlier)
295,0.02032,2.0898,1,Low leverage / high residual (outlier)
245,0.01962,1.877,1,Low leverage / high residual (outlier)
262,0.01781,2.5395,1,Low leverage / high residual (outlier)
232,0.01777,2.2152,1,Low leverage / high residual (outlier)
284,0.01685,3.1378,1,Low leverage / high residual (outlier)
374,0.01632,2.4029,1,Low leverage / high residual (outlier)
205,0.01614,2.1904,1,Low leverage / high residual (outlier)
279,0.01461,2.8454,1,Low leverage / high residual (outlier)
61,0.01446,2.7597,1,Low leverage / high residual (outlier)
414,0.01409,2.6234,1,Low leverage / high residual (outlier)
332,0.01405,2.5325,1,Low leverage / high residual (outlier)
30,0.01351,2.4359,1,Low leverage / high residual (outlier)
333,0.01209,4.5512,1,Low leverage / high residual (outlier)
334,0.0116,2.7173,1,Low leverage / high residual (outlier)
370,0.00802,5.3175,1,Low leverage / high residual (outlier)
20,0.00786,3.4877,1,Low leverage / high residual (outlier)
317,0.00784,3.2239,1,Low leverage / high residual (outlier)
