Case_ID,Outcome,PMPP_mean,PMPP_min,PMPP_max,CooksD_A
78,1,0.412,0.336,0.497,0.01063
103,1,0.384,0.332,0.441,0.01164
381,1,0.269,0.218,0.322,0.01252
105,1,0.266,0.128,0.59,0.00963
326,1,0.245,0.054,0.622,0.01155
367,1,0.211,0.1,0.384,0.01072
245,1,0.209,0.18,0.248,0.01224
295,1,0.205,0.161,0.243,0.01451
334,1,0.2,0.064,0.532,0.00977
36,1,0.192,0.165,0.217,0.01042
108,1,0.184,0.153,0.214,0.01165
374,1,0.183,0.158,0.216,0.0104
232,1,0.162,0.131,0.199,0.01534
30,1,0.161,0.056,0.463,0.01226
205,1,0.159,0.128,0.191,0.01308
332,1,0.157,0.025,0.356,0.01379
61,1,0.134,0.106,0.169,0.01563
414,1,0.13,0.098,0.162,0.01621
279,1,0.125,0.103,0.147,0.01873
317,1,0.097,0.082,0.12,0.01281
262,1,0.089,0.067,0.11,0.01286
20,1,0.079,0.061,0.1,0.01592
333,1,0.066,0.042,0.096,0.03213
284,1,0.063,0.048,0.088,0.02268
370,1,0.046,0.035,0.067,0.02853
