Case_ID,Outcome,PMPP_mean,PMPP_min,PMPP_max
208,0,0.7,0.672,0.728
201,0,0.679,0.631,0.717
381,1,0.586,0.543,0.637
196,0,0.562,0.487,0.65
82,1,0.471,0.363,0.594
370,1,0.421,0.336,0.537
236,1,0.385,0.293,0.457
60,1,0.36,0.292,0.435
350,0,0.355,0.301,0.431
147,1,0.318,0.25,0.407
262,1,0.305,0.259,0.369
284,1,0.303,0.249,0.374
20,1,0.225,0.184,0.296
360,1,0.205,0.157,0.246
307,1,0.179,0.153,0.226
334,1,0.17,0.018,0.521
91,1,0.164,0.139,0.182
30,1,0.137,0.019,0.514
340,1,0.137,0.02,0.385
358,1,0.132,0.087,0.199
223,1,0.124,0.106,0.14
131,1,0.117,0.018,0.376
232,1,0.1,0.083,0.12
86,1,0.099,0.075,0.129
76,1,0.087,0.069,0.105
337,1,0.067,0.058,0.074
279,1,0.058,0.046,0.07
9,1,0.047,0.035,0.056
317,1,0.026,0.019,0.032
245,1,0.024,0.019,0.029
