"variable","psrf","converged"
"benefit_1",1.019,TRUE
"adls_1",1.0161,TRUE
"ciss5",1.0159,TRUE
"dbas_12",1.0152,TRUE
"surps10",1.0135,TRUE
"income",1.0133,TRUE
"dbas_16",1.0131,TRUE
"capability_1",1.011,TRUE
"dbas_8",1.0098,TRUE
"surps15",1.0098,TRUE
"surps12",1.0094,TRUE
"ciss18",1.0093,TRUE
"surps13_r",1.009,TRUE
"dbas_2",1.0089,TRUE
"surps7_r",1.0089,TRUE
"thorough",1.0083,TRUE
"surps14",1.0079,TRUE
"surps17",1.0079,TRUE
"side_effects_3",1.0077,TRUE
"dbas1",1.0076,TRUE
"trusting",1.0073,TRUE
"find_fault_r",1.0069,TRUE
"ciss20",1.0068,TRUE
"ciss19",1.0066,TRUE
"surps2",1.006,TRUE
"stop_wdl_exp_combined",1.0059,TRUE
"lazy_r",1.0057,TRUE
"dbas_13",1.0056,TRUE
"ciss16",1.0056,TRUE
"driving_freq",1.0055,TRUE
"side_effects_2",1.0054,TRUE
"adls_2",1.0049,TRUE
"surps8",1.0046,TRUE
"ciss13",1.0042,TRUE
"dbas_4",1.0036,TRUE
"dbas_10",1.0034,TRUE
"surps16",1.0033,TRUE
"motivation_2",1.0032,TRUE
"dbas_15",1.003,TRUE
"ciss2",1.0029,TRUE
"surps23_r",1.0027,TRUE
"benefit_4",1.0024,TRUE
"dbas_11",1.0024,TRUE
"dbas_5",1.0023,TRUE
"surps3",1.0023,TRUE
"outgoing",1.002,TRUE
"osss_3_score",1.0017,TRUE
"inf_hcp_3",1.0017,TRUE
"ciss17",1.0012,TRUE
"dbas_14",1.0011,TRUE
"surps19",1.0011,TRUE
"motivation_3",1.0008,TRUE
"dbas_6",1.0008,TRUE
"surps4_r",1.0005,TRUE
"c_lengthofuse",1.0002,TRUE
"age",1,TRUE
"sex",1,TRUE
"prov_terr",1,TRUE
"education",1,TRUE
"phq2_score",1,TRUE
"gen_health",1,TRUE
"med_quant",1,TRUE
"fall2",1,TRUE
"n_physical_conditions",1,TRUE
"n_ment_conditions",1,TRUE
"n_sleep_conditions",1,TRUE
"alc_sleep",1,TRUE
"can_sleep",1,TRUE
"melatonin_use",1,TRUE
"op_sleep",1,TRUE
"alc_use",1,TRUE
"bzra_weekly_diazepam_eq",1,TRUE
"surps21",1,TRUE
"ciss15",0.9998,TRUE
"dbas_9",0.9997,TRUE
"desires_2",0.9996,TRUE
"inf_hcp_1",0.9994,TRUE
"surps5",0.9993,TRUE
"relaxed_r",0.9992,TRUE
"surps20_r",0.9991,TRUE
"ciss12",0.9986,TRUE
"side_effects_4",0.9985,TRUE
"dependence_1",0.9985,TRUE
"ciss11",0.9982,TRUE
"dependence_3",0.9978,TRUE
"reserved_r",0.9978,TRUE
"few_interests_r",0.9977,TRUE
"ciss7",0.9977,TRUE
"surps1_r",0.9976,TRUE
"ciss10",0.9976,TRUE
"surps6",0.9974,TRUE
"motivation_1",0.9973,TRUE
"surps11",0.9973,TRUE
"ciss9",0.9973,TRUE
"benefit_6",0.9972,TRUE
"nervous",0.9972,TRUE
"bzra_daily_diazepam_eq",0.9971,TRUE
"surps9",0.9969,TRUE
"desires_1",0.9968,TRUE
"ciss21",0.9966,TRUE
"capability",0.9964,TRUE
"benefit_5",0.9963,TRUE
"dbas_3",0.9959,TRUE
"side_effects_1",0.9957,TRUE
"wdl_symptom_count",0.9956,TRUE
"ciss14",0.9948,TRUE
"dependence_2",0.9946,TRUE
"surps22",0.9946,TRUE
"surps18",0.9945,TRUE
"dbas_7",0.9941,TRUE
"ciss8",0.9938,TRUE
"imagination",0.993,TRUE
"ciss1",0.993,TRUE
"ciss6",0.9925,TRUE
"ciss3",0.9902,TRUE
"ciss4",0.9901,TRUE
"employment",0.9891,TRUE
