"variable","pct_missing","FMI","flag"
"bzra_daily_dose_eq",2.4,0.072,"✓"
"wdl_symptom_count",4,0.047,"✓"
"benefit_5",10.2,0.036,"✓"
"benefit_6",10.4,0.032,"✓"
"dbas_10",15.9,0.029,"✓"
"inf_hcp_3",13.3,0.025,"✓"
"find_fault_r",15.9,0.025,"✓"
"surps19",16.8,0.025,"✓"
"benefit_4",10.4,0.024,"✓"
"side_effects_2",10.4,0.024,"✓"
"imagination",15.9,0.024,"✓"
"surps8",16.1,0.024,"✓"
"side_effects_4",12.1,0.023,"✓"
"dbas_9",15.9,0.023,"✓"
"ciss6",16.8,0.022,"✓"
"dependence_1",12.6,0.021,"✓"
"motivation_3",13,0.021,"✓"
"desires_1",13,0.021,"✓"
"surps20_r",16.8,0.021,"✓"
"desires_2",13.3,0.02,"✓"
"dbas_12",15.9,0.02,"✓"
"lazy_r",15.9,0.02,"✓"
"surps9",16.4,0.02,"✓"
"ciss2",16.8,0.02,"✓"
"ciss18",17.1,0.02,"✓"
"adls_2",12.3,0.019,"✓"
"dbas_2",15.9,0.019,"✓"
"ciss8",16.8,0.019,"✓"
"benefit_1",10,0.018,"✓"
"inf_hcp_1",13.3,0.018,"✓"
"dbas_5",15.9,0.018,"✓"
"trusting",15.9,0.018,"✓"
"ciss3",16.8,0.018,"✓"
"ciss16",17.1,0.018,"✓"
"side_effects_1",10.2,0.017,"✓"
"adls_1",12.1,0.017,"✓"
"dbas_11",15.9,0.017,"✓"
"dbas_14",15.9,0.017,"✓"
"surps2",16.1,0.017,"✓"
"surps5",16.1,0.017,"✓"
"surps12",16.4,0.017,"✓"
"ciss12",17.1,0.017,"✓"
"ciss13",17.1,0.017,"✓"
"side_effects_3",10.4,0.016,"✓"
"dependence_3",13,0.016,"✓"
"motivation_1",13,0.016,"✓"
"dbas_3",15.9,0.016,"✓"
"dbas_8",15.9,0.016,"✓"
"surps16",16.4,0.016,"✓"
"surps18",16.8,0.016,"✓"
"dependence_2",13,0.015,"✓"
"capability",13.3,0.015,"✓"
"dbas_13",15.9,0.015,"✓"
"thorough",15.9,0.015,"✓"
"surps10",16.4,0.015,"✓"
"ciss1",16.8,0.015,"✓"
"dbas1",15.9,0.014,"✓"
"reserved_r",15.9,0.014,"✓"
"relaxed_r",15.9,0.014,"✓"
"few_interests_r",15.9,0.014,"✓"
"nervous",15.9,0.014,"✓"
"surps1_r",16.1,0.014,"✓"
"ciss9",16.8,0.014,"✓"
"ciss21",17.1,0.014,"✓"
"capability_1",13.3,0.013,"✓"
"dbas_6",15.9,0.013,"✓"
"dbas_7",15.9,0.013,"✓"
"surps3",16.1,0.013,"✓"
"surps7_r",16.1,0.013,"✓"
"surps11",16.4,0.013,"✓"
"surps14",16.4,0.013,"✓"
"surps22",16.8,0.013,"✓"
"surps23_r",16.8,0.013,"✓"
"ciss11",17.1,0.013,"✓"
"ciss15",17.1,0.013,"✓"
"ciss19",17.1,0.013,"✓"
"motivation_2",13,0.012,"✓"
"dbas_15",15.9,0.012,"✓"
"surps6",16.1,0.012,"✓"
"surps13_r",16.4,0.012,"✓"
"surps17",16.8,0.012,"✓"
"ciss5",16.8,0.012,"✓"
"dbas_4",15.9,0.011,"✓"
"dbas_16",15.9,0.011,"✓"
"surps4_r",16.1,0.011,"✓"
"surps21",16.8,0.011,"✓"
"ciss4",16.8,0.011,"✓"
"ciss7",16.8,0.011,"✓"
"ciss10",16.8,0.011,"✓"
"ciss17",17.1,0.011,"✓"
"outgoing",15.9,0.01,"✓"
"surps15",16.4,0.01,"✓"
"ciss14",17.1,0.009,"✓"
"ciss20",17.1,0.009,"✓"
