"variable","n_missing","obs_mean","obs_sd","imp_mean","imp_sd","mean_diff","sd_ratio","abs_smd","flag"
"osss_3_score",1,10.209,2.261,10.081,1.46,-0.128,0.646,0.067,"✓"
"bzra_daily_dose_eq",10,0.793,1.345,0.534,0.751,-0.259,0.559,0.238,"✓"
"benefit_1",42,3.763,0.976,3.719,1.012,-0.044,1.037,0.044,"✓"
"benefit_4",44,4.024,0.802,3.983,0.871,-0.041,1.086,0.049,"✓"
"benefit_5",43,4.066,0.772,4.033,0.831,-0.033,1.077,0.041,"✓"
"benefit_6",44,3.354,1.096,3.332,1.124,-0.023,1.026,0.021,"✓"
"side_effects_1",43,2.449,1.173,2.507,1.195,0.058,1.019,0.049,"✓"
"side_effects_2",44,2.087,0.961,2.015,0.897,-0.073,0.933,0.078,"✓"
"side_effects_3",44,1.577,0.824,1.555,0.808,-0.022,0.98,0.027,"✓"
"side_effects_4",51,2.803,0.979,2.853,0.984,0.049,1.005,0.05,"✓"
"adls_1",51,1.916,0.951,1.977,0.88,0.06,0.926,0.066,"✓"
"adls_2",52,1.832,0.936,1.864,0.896,0.031,0.956,0.034,"✓"
"dependence_1",53,3.561,1.221,3.476,1.27,-0.085,1.04,0.068,"✓"
"dependence_2",55,3.392,1.175,3.361,1.212,-0.032,1.031,0.027,"✓"
"dependence_3",55,2.918,1.152,2.938,1.181,0.02,1.025,0.017,"✓"
"motivation_1",55,3.253,1.234,3.183,1.265,-0.07,1.025,0.056,"✓"
"motivation_2",55,2.496,1.164,2.501,1.211,0.005,1.041,0.004,"✓"
"motivation_3",55,2.605,1.248,2.784,1.282,0.179,1.027,0.141,"✓"
"capability_1",56,3.134,1.192,3.176,1.222,0.042,1.026,0.035,"✓"
"capability",56,3.022,1.267,2.965,1.292,-0.057,1.02,0.044,"✓"
"desires_1",55,2.676,1.114,2.717,1.132,0.042,1.016,0.037,"✓"
"desires_2",56,2.418,0.908,2.412,0.92,-0.006,1.013,0.007,"✓"
"inf_hcp_1",56,2.995,0.93,3.026,0.943,0.032,1.013,0.034,"✓"
"inf_hcp_3",56,2.708,0.713,2.701,0.755,-0.007,1.058,0.009,"✓"
"wdl_symptom_count",17,1.222,0.967,1.138,0.938,-0.084,0.97,0.088,"✓"
"dbas1",67,7.014,2.455,7.209,2.591,0.194,1.055,0.077,"✓"
"dbas_2",67,5.456,3.212,5.205,3.333,-0.252,1.038,0.077,"✓"
"dbas_3",67,7.685,2.498,7.238,2.855,-0.447,1.143,0.167,"✓"
"dbas_4",67,6.718,2.881,6.174,3.093,-0.544,1.074,0.182,"✓"
"dbas_5",67,6.992,2.516,6.691,2.81,-0.3,1.117,0.113,"✓"
"dbas_6",67,7.408,2.706,7.089,2.883,-0.32,1.066,0.114,"✓"
"dbas_7",67,6.346,2.821,6.303,3.036,-0.044,1.077,0.015,"✓"
"dbas_8",67,4.324,2.779,4.446,3.006,0.122,1.082,0.042,"✓"
"dbas_9",67,4.769,2.717,4.708,2.907,-0.061,1.07,0.022,"✓"
"dbas_10",67,7.211,2.444,7.062,2.749,-0.149,1.125,0.057,"✓"
"dbas_11",67,5.82,2.727,5.706,2.946,-0.114,1.08,0.04,"✓"
"dbas_12",67,6.758,2.586,6.57,2.765,-0.188,1.069,0.07,"✓"
"dbas_13",67,4.53,2.458,4.657,2.637,0.127,1.073,0.05,"✓"
"dbas_14",67,4.777,2.883,5.034,3.035,0.257,1.053,0.087,"✓"
"dbas_15",67,4.969,3.008,5,3.126,0.031,1.039,0.01,"✓"
"dbas_16",67,3.654,3.034,4.032,3.233,0.379,1.066,0.121,"✓"
"reserved_r",67,2.763,1.302,2.886,1.348,0.123,1.036,0.093,"✓"
"trusting",67,4.113,1.016,4.052,1.111,-0.06,1.094,0.057,"✓"
"lazy_r",67,4.054,1.167,3.929,1.229,-0.125,1.054,0.104,"✓"
"relaxed_r",67,2.93,1.218,3.087,1.301,0.158,1.068,0.125,"✓"
"few_interests_r",67,3.313,1.388,3.289,1.418,-0.023,1.021,0.017,"✓"
"outgoing",67,3.676,1.162,3.544,1.276,-0.132,1.098,0.108,"✓"
"find_fault_r",67,3.577,1.153,3.574,1.213,-0.003,1.052,0.003,"✓"
"thorough",67,4.335,0.852,4.313,0.947,-0.022,1.111,0.024,"✓"
"nervous",67,2.851,1.254,2.931,1.289,0.081,1.027,0.063,"✓"
"imagination",67,3.848,1.003,3.811,1.08,-0.037,1.077,0.036,"✓"
"surps1_r",68,2.048,0.644,2.095,0.717,0.047,1.115,0.069,"✓"
"surps2",68,2.226,0.718,2.252,0.758,0.026,1.056,0.036,"✓"
"surps3",68,1.523,0.875,1.604,0.913,0.081,1.043,0.091,"✓"
"surps4_r",68,2.02,0.683,2.103,0.772,0.084,1.129,0.115,"✓"
"surps5",68,2.119,0.712,2.185,0.769,0.066,1.081,0.089,"✓"
"surps6",68,2.763,0.738,2.703,0.78,-0.06,1.057,0.079,"✓"
"surps7_r",68,2.297,0.718,2.342,0.79,0.045,1.1,0.06,"✓"
"surps8",68,3.042,0.719,2.886,0.851,-0.156,1.184,0.199,"✓"
"surps9",69,2.085,0.734,2.096,0.768,0.011,1.047,0.015,"✓"
"surps10",69,2.618,0.714,2.562,0.815,-0.055,1.142,0.072,"✓"
"surps11",69,1.932,0.64,1.929,0.676,-0.003,1.055,0.004,"✓"
"surps12",69,1.754,0.941,1.783,0.976,0.03,1.038,0.031,"✓"
"surps13_r",69,1.694,0.566,1.694,0.588,0,1.038,0.001,"✓"
"surps14",69,2.371,0.758,2.344,0.823,-0.027,1.086,0.034,"✓"
"surps15",69,2.122,0.761,2.085,0.797,-0.037,1.047,0.047,"✓"
"surps16",69,1.55,0.669,1.507,0.648,-0.042,0.968,0.064,"✓"
"surps17",71,1.647,0.768,1.685,0.784,0.038,1.021,0.05,"✓"
"surps18",71,2.501,0.713,2.437,0.775,-0.065,1.087,0.087,"✓"
"surps19",71,2.248,0.943,2.304,0.981,0.056,1.04,0.058,"✓"
"surps20_r",71,2,0.535,2.071,0.595,0.071,1.113,0.126,"✓"
"surps21",71,2.49,0.688,2.457,0.732,-0.033,1.063,0.046,"✓"
"surps22",71,1.587,0.635,1.63,0.707,0.043,1.114,0.065,"✓"
"surps23_r",71,2.353,0.721,2.429,0.779,0.076,1.08,0.101,"✓"
"ciss1",71,3.023,1.124,2.993,1.158,-0.03,1.031,0.026,"✓"
"ciss2",71,3.994,0.868,3.962,0.876,-0.032,1.009,0.037,"✓"
"ciss3",71,2.772,1.108,2.923,1.18,0.151,1.065,0.132,"✓"
"ciss4",71,2.96,1.251,3.045,1.315,0.084,1.052,0.066,"✓"
"ciss5",71,2.843,1.162,2.884,1.228,0.04,1.057,0.034,"✓"
"ciss6",71,3.65,0.929,3.624,0.974,-0.026,1.049,0.027,"✓"
"ciss7",71,3.048,1.195,2.943,1.236,-0.106,1.034,0.087,"✓"
"ciss8",71,3.729,0.9,3.558,1.03,-0.171,1.144,0.177,"✓"
"ciss9",71,2.325,1.175,2.32,1.225,-0.005,1.042,0.004,"✓"
"ciss10",71,2.558,1.196,2.629,1.288,0.07,1.077,0.057,"✓"
