"variable","W","B","RIV","flag"
"bzra_daily_dose_eq",0.5783,0.0436,0.0753,"✓"
"wdl_symptom_count",0.8903,0.0423,0.0475,"✓"
"benefit_5",0.6827,0.0247,0.0362,"✓"
"benefit_6",1.2519,0.0398,0.0318,"✓"
"dbas_10",7.4568,0.2168,0.0291,"✓"
"surps19",0.9525,0.0239,0.0251,"✓"
"inf_hcp_3",0.5662,0.0141,0.0248,"✓"
"find_fault_r",1.4571,0.0357,0.0245,"✓"
"side_effects_2",0.8024,0.0195,0.0244,"✓"
"benefit_4",0.7588,0.0178,0.0235,"✓"
"imagination",1.1567,0.0272,0.0235,"✓"
"surps8",0.7184,0.0169,0.0235,"✓"
"side_effects_4",0.9646,0.0221,0.0229,"✓"
"dbas_9",8.3864,0.1904,0.0227,"✓"
"ciss6",0.9408,0.021,0.0224,"✓"
"dependence_1",1.6079,0.0344,0.0214,"✓"
"desires_1",1.2789,0.027,0.0211,"✓"
"surps20_r",0.3518,0.0072,0.0205,"✓"
"motivation_3",1.639,0.0334,0.0204,"✓"
"surps9",0.5862,0.0118,0.0202,"✓"
"ciss18",1.3493,0.0273,0.0202,"✓"
"lazy_r",1.5047,0.0294,0.0196,"✓"
"desires_2",0.8455,0.0165,0.0195,"✓"
"ciss2",0.7638,0.0149,0.0195,"✓"
"dbas_12",7.6134,0.1475,0.0194,"✓"
"ciss8",1.0555,0.0196,0.0186,"✓"
"adls_2",0.8026,0.0148,0.0185,"✓"
"dbas_2",11.074,0.2034,0.0184,"✓"
"ciss3",1.3878,0.0254,0.0183,"✓"
"benefit_1",1.0295,0.0185,0.018,"✓"
"inf_hcp_1",0.889,0.0157,0.0176,"✓"
"ciss16",0.9456,0.0166,0.0176,"✓"
"trusting",1.2323,0.0215,0.0175,"✓"
"dbas_5",7.8782,0.137,0.0174,"✓"
"adls_1",0.7765,0.0133,0.0172,"✓"
"dbas_14",9.1877,0.1583,0.0172,"✓"
"ciss13",0.792,0.0136,0.0172,"✓"
"side_effects_1",1.4373,0.0246,0.0171,"✓"
"dbas_11",8.6655,0.1459,0.0168,"✓"
"surps12",0.9515,0.0158,0.0166,"✓"
"ciss12",1.2322,0.0203,0.0165,"✓"
"surps2",0.5735,0.0094,0.0164,"✓"
"surps5",0.5911,0.0097,0.0164,"✓"
"dependence_3",1.3971,0.0226,0.0162,"✓"
"surps16",0.4187,0.0067,0.0161,"✓"
"motivation_1",1.6026,0.0256,0.016,"✓"
"side_effects_3",0.6573,0.0104,0.0158,"✓"
"dbas_8",9.0308,0.1415,0.0157,"✓"
"dbas_3",8.1465,0.1274,0.0156,"✓"
"surps18",0.5994,0.0093,0.0156,"✓"
"ciss1",1.34,0.0204,0.0152,"✓"
"surps10",0.6643,0.01,0.0151,"✓"
"dbas_13",6.9522,0.1035,0.0149,"✓"
"capability",1.6744,0.0248,0.0148,"✓"
"dependence_2",1.4737,0.0216,0.0147,"✓"
"thorough",0.8975,0.0132,0.0147,"✓"
"nervous",1.6629,0.023,0.0139,"✓"
"few_interests_r",2.0126,0.0277,0.0138,"✓"
"surps1_r",0.5151,0.0071,0.0138,"✓"
"dbas1",6.7187,0.0921,0.0137,"✓"
"reserved_r",1.8208,0.0247,0.0136,"✓"
"relaxed_r",1.6964,0.0227,0.0134,"✓"
"ciss9",1.5005,0.0202,0.0134,"✓"
"ciss21",1.616,0.0217,0.0134,"✓"
"ciss11",0.8332,0.011,0.0133,"✓"
"dbas_6",8.3268,0.1096,0.0132,"✓"
"capability_1",1.5013,0.0197,0.0131,"✓"
"surps11",0.4573,0.0059,0.013,"✓"
"surps22",0.501,0.0065,0.0129,"✓"
"surps7_r",0.6246,0.008,0.0128,"✓"
"ciss15",1.5083,0.0192,0.0128,"✓"
"ciss19",1.0006,0.0128,0.0128,"✓"
"surps3",0.8351,0.0105,0.0125,"✓"
"surps14",0.6793,0.0085,0.0125,"✓"
"dbas_7",9.2431,0.1142,0.0124,"✓"
"surps23_r",0.6086,0.0075,0.0124,"✓"
"surps13_r",0.3463,0.0042,0.0122,"✓"
"ciss5",1.5102,0.0184,0.0122,"✓"
"surps6",0.6097,0.0074,0.0121,"✓"
"dbas_15",9.8009,0.1133,0.0116,"✓"
"surps17",0.6156,0.0071,0.0116,"✓"
"motivation_2",1.4771,0.0169,0.0115,"✓"
"surps21",0.5369,0.006,0.0112,"✓"
"dbas_4",9.6009,0.1067,0.0111,"✓"
"surps4_r",0.5975,0.0065,0.0109,"✓"
"dbas_16",10.4922,0.1134,0.0108,"✓"
"ciss4",1.7358,0.0188,0.0108,"✓"
"ciss17",1.4104,0.015,0.0107,"✓"
"ciss7",1.5331,0.0162,0.0106,"✓"
"ciss10",1.6659,0.0173,0.0104,"✓"
"surps15",0.638,0.0062,0.0098,"✓"
"outgoing",1.6358,0.0159,0.0097,"✓"
"ciss14",1.4251,0.013,0.0092,"✓"
"ciss20",1.1999,0.0108,0.009,"✓"
