Case_ID,CooksD_A_mean,CooksD_A_min,CooksD_A_max,CooksD_B_mean,CooksD_B_min,CooksD_B_max,Combined_mean
367,0.01072,0.00324,0.02513,0.05176,0.0041,0.14512,0.03124
370,0.02853,0.0254,0.03117,0.01218,0.00847,0.01856,0.02036
284,0.02268,0.02015,0.02516,0.01215,0.00959,0.01661,0.01741
108,0.01165,0.0104,0.01341,0.02198,0.00184,0.0547,0.01681
334,0.00977,0.00284,0.0221,0.02272,0.00314,0.06165,0.01625
20,0.01592,0.01387,0.01814,0.01258,0.00919,0.02219,0.01425
317,0.01281,0.01133,0.01454,0.01555,0.01333,0.01829,0.01418
245,0.01224,0.01075,0.01361,0.01516,0.01343,0.01659,0.0137
30,0.01226,0.00198,0.03773,0.01426,0.00908,0.01984,0.01326
232,0.01534,0.01329,0.01723,0.01012,0.00902,0.01152,0.01273
381,0.01252,0.00988,0.01485,0.01028,0.00543,0.01401,0.0114
