term,OR_full,OR_CI_full,p_full,OR_clean,OR_CI_clean,p_clean,separation_flag,m_converged,OR_change_pct,Sig_full,Sig_clean,Robustness
capabilityC,2.1047929828647054,"2.10 [1.54, 2.87]",3.6088394692010056e-6,2.8426899909246677,"2.84 [1.93, 4.20]",1.459567362444681e-7,FALSE,42,35.1,TRUE,TRUE,Robust (remains significant)
DBAS_Medications,0.797498241248019,"0.80 [0.69, 0.92]",0.0028488930929665797,0.7346766136320871,"0.73 [0.62, 0.87]",5.147841490447365e-4,FALSE,42,-7.9,TRUE,TRUE,Robust (remains significant)
side_effectsC,1.7183063167267492,"1.72 [1.19, 2.48]",0.003921437050723511,1.9218799336855574,"1.92 [1.24, 2.97]",0.0032818766635150467,FALSE,42,11.8,TRUE,TRUE,Robust (remains significant)
bzra_daily_diazepam_eq,1.1311019338382091,"1.13 [0.95, 1.35]",0.1661767369980273,1.366836753193127,"1.37 [0.97, 1.93]",0.07722147324569638,FALSE,42,20.8,FALSE,FALSE,Both non-significant
stop_wdl_exp_combined.L,0.8876602399903195,"0.89 [0.19, 4.23]",0.8806526162268093,0.9650421960574923,"0.97 [0.15, 6.14]",0.969935896015997,TRUE,6,8.7,FALSE,FALSE,Separation in reduced sample — interpret cautiously
stop_wdl_exp_combined.Q,0.38605910194028076,"0.39 [0.07, 2.10]",0.2700712772771045,0.42719504235903,"0.43 [0.09, 2.10]",0.29567245691841315,TRUE,6,10.7,FALSE,FALSE,Separation in reduced sample — interpret cautiously
stop_wdl_exp_combined.C,0.4079527676366803,"0.41 [0.06, 2.76]",0.35642997016457023,0.3659507380868852,"0.37 [0.04, 3.04]",0.35204376521165204,TRUE,6,-10.3,FALSE,FALSE,Separation in reduced sample — interpret cautiously
stop_wdl_exp_combined^4,1.2644982976556443,"1.26 [0.17, 9.67]",0.8206089578194395,NA,NA,NA,TRUE,0,NA,FALSE,NA,Non-robust (effect collapses after removal)
stop_wdl_exp_combined^5,0.8792069667505533,"0.88 [0.07, 10.33]",0.918203556518114,NA,NA,NA,TRUE,0,NA,FALSE,NA,Non-robust (effect collapses after removal)
wdl_symptom_count,1.1041117220385555,"1.10 [0.51, 2.37]",0.7988674741200599,0.9315269704849545,"0.93 [0.36, 2.43]",0.8846981815206164,FALSE,42,-15.6,FALSE,FALSE,Both non-significant
n_sleep_conditions,0.8679783524696982,"0.87 [0.59, 1.27]",0.4649318796436247,0.782118170111359,"0.78 [0.50, 1.22]",0.27439100325155286,FALSE,42,-9.9,FALSE,FALSE,Both non-significant
c_lengthofuse,0.9796389689195425,"0.98 [0.95, 1.01]",0.17660145714650044,0.9623912021318443,"0.96 [0.93, 1.00]",0.04126132752891901,FALSE,42,-1.8,FALSE,TRUE,Gains significance
