"it","im","dep","meth","out","event_type"
0,0,"","collinear","bzra_weekly_diazepam_eq","dropped_predictor"
1,1,"benefit_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"benefit_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"benefit_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"benefit_6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"side_effects_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"side_effects_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"side_effects_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"side_effects_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"adls_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dependence_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dependence_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dependence_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"motivation_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"motivation_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"motivation_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"capability_1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"capability","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"desires_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"inf_hcp_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas1","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_4","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_7","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_8","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_9","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_12","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_13","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_15","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"dbas_16","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"reserved_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"trusting","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"lazy_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"relaxed_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"few_interests_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"outgoing","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"find_fault_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"thorough","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"nervous","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"imagination","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps1_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps2","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps3","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps4_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps5","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps6","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps7_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps8","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps9","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps10","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps11","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps12","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps13_r","pmm","stop_wdl_exp_combined.C","dropped_predictor"
1,1,"surps14","pmm","stop_wdl_exp_combined.C","dropped_predictor"
