model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model A (Personality),(Intercept),0.9296808945206898,0.8199288934587761,2.533700530880579,0.5051802841346958,12.707618610216517,"2.53 [0.51, 12.71]",1.1338555110540591,0.25761917463699807,
Model A (Personality),DBAS_Medications,-0.3783196996206937,0.07217424434507956,0.6850114677489555,0.5943253502283719,0.7895350766499708,"0.69 [0.59, 0.79]",-5.241754909297993,2.933209516278801e-7,***
Model A (Personality),SURPS_Hopelessness,-0.35732519457166717,0.3083071105534634,0.6995449725139342,0.3814911496331155,1.2827641454858056,"0.70 [0.38, 1.28]",-1.158991091480855,0.24724048121702005,
Model A (Personality),CISS_Emotion,-0.11030234310036562,0.19022051550573538,0.8955633269672272,0.6160398966046259,1.3019183936448089,"0.90 [0.62, 1.30]",-0.5798656512264571,0.5623846654425905,
Model A (Personality),DBAS_Consequences,0.04553267809101439,0.07230988294241118,1.0465852044617185,0.9078578443219305,1.2065111262174262,"1.05 [0.91, 1.21]",0.629688173154386,0.5292958048649514,
Model A (Personality),BFI_Neuroticism,0.010166166101388308,0.1449725556696993,1.0102180171277466,0.7594729498559861,1.3437482432034404,"1.01 [0.76, 1.34]",0.07012476295548356,0.9441412724666914,
Model A (Personality),SURPS_Sensation_Seeking,0.40616803852014915,0.2574412874942991,1.501054766288197,0.9046912390739418,2.490535239075482,"1.50 [0.90, 2.49]",1.5777113394413997,0.11553688218836979,
Model B (Full),(Intercept),-3.712307840302831,1.1585629536865418,0.024421098192013234,0.0024976351532777544,0.23878188778744705,"0.02 [0.00, 0.24]",-3.204234891587276,0.0015026926029240916,**
Model B (Full),capabilityC,0.860391502226277,0.16877925564564422,2.3640860575076057,1.6961853791534138,3.294983529507454,"2.36 [1.70, 3.29]",5.097732531968787,5.780598280261316e-7,***
Model B (Full),DBAS_Medications,-0.22856281948166024,0.07387513537390178,0.7956763116610002,0.6880236678647595,0.9201729860591042,"0.80 [0.69, 0.92]",-3.0939072845666247,0.002158303080066397,**
Model B (Full),side_effectsC,0.5616412607670475,0.18707733056580486,1.7535481696028674,1.2137417827318022,2.533431102780967,"1.75 [1.21, 2.53]",3.002187699965544,0.0028725023421144486,**
Model B (Full),bzra_daily_dose_eq,0.11992866876991666,0.08896928159129777,1.1274164287104027,0.9465128074895495,1.342895514639037,"1.13 [0.95, 1.34]",1.3479783878759237,0.1784190701957286,
Model B (Full),c_lengthofuse,-0.02463314552491161,0.015251195445397898,0.9756677744718643,0.9468488529819503,1.0053638478252738,"0.98 [0.95, 1.01]",-1.615161618845082,0.10706542085860066,
Model B (Full),n_sleep_conditions,-0.1482428025184508,0.19417243846365087,0.8622217399147678,0.5886164391147026,1.2630063983598312,"0.86 [0.59, 1.26]",-0.763459550136936,0.4456439788449881,
Model B (Full),wdl_symptom_count,-0.31379559729605727,0.32058124432254975,0.7306683634858145,0.38862218605575105,1.3737668011636617,"0.73 [0.39, 1.37]",-0.9788332999928556,0.3285986950039167,
Model B (Full),stop_wdl_exp_combinedInsomnia only,-0.04568958463871621,0.4446896977847307,0.9553384679040324,0.39832197334948727,2.291291089423397,"0.96 [0.40, 2.29]",-0.10274486876202386,0.918228274031029,
Model B (Full),stop_wdl_exp_combinedOther withdrawal symptoms,0.18489547826519334,0.7610821448010968,1.203092684221209,0.2688118704512404,5.384553905290215,"1.20 [0.27, 5.38]",0.24293761130543196,0.8082444346980917,
Model B (Full),dependenceC,0.17122964733420196,0.19098641720405815,1.186763254748189,0.8148865707920382,1.7283473225624495,"1.19 [0.81, 1.73]",0.8965540578273312,0.3707197771112122,
