"subscale","n_items","n_reversed","alpha","raw_alpha","raw_alpha.1","mean_inter_r","mean","sd","status"
"BFI_Extraversion",2,1,0.58,0.492,0.653,0.411,3.19,1.04,"POOR"
"BFI_Agreeableness",2,1,0.277,0.124,0.403,0.161,3.83,0.84,"POOR"
"BFI_Conscientiousness",2,1,0.374,0.243,0.483,0.242,4.21,0.79,"POOR"
"BFI_Neuroticism",2,1,0.567,0.475,0.642,0.395,2.88,1.04,"POOR"
"BFI_Openness",2,1,0.165,-0.011,0.31,0.094,3.57,0.91,"POOR"
"SURPS_Hopelessness",7,6,0.842,0.818,0.864,0.431,2.02,0.49,"GOOD"
"SURPS_Impulsivity",5,0,0.695,0.646,0.739,0.313,2,0.48,"ACCEPTABLE"
"SURPS_Sensation_Seeking",6,0,0.614,0.554,0.669,0.214,1.99,0.48,"ACCEPTABLE"
"SURPS_Anxiety_Sensitivity",5,0,0.701,0.654,0.744,0.32,2.61,0.49,"GOOD"
"DBAS_Consequences",7,0,0.836,0.811,0.859,0.425,6.1,1.99,"GOOD"
"DBAS_Worry_Helplessness",4,0,0.662,0.606,0.712,0.327,5.53,1.95,"ACCEPTABLE"
"DBAS_Expectations",2,0,0.361,0.227,0.473,0.229,6.26,2.24,"POOR"
"DBAS_Medications",3,0,0.539,0.457,0.61,0.272,5.65,1.97,"POOR"
"DBAS_Total",16,0,0.861,0.841,0.88,0.279,5.89,1.59,"GOOD"
"CISS_Task",7,0,0.833,0.808,0.856,0.418,3.7,0.64,"GOOD"
"CISS_Emotion",7,0,0.83,0.804,0.854,0.413,2.77,0.8,"GOOD"
"CISS_Avoidance",7,0,0.718,0.675,0.757,0.264,2.83,0.73,"GOOD"
